err_phy, T_ps, T_err, S_ps, S_err
1.0000e-03, 3.7659e-03, 2.1416e-09, 7.4633e-03, 1.7235e-08
2.0000e-03, 7.4855e-03, 1.7714e-08, 1.4719e-02, 1.3781e-07
3.0000e-03, 1.1231e-02, 6.1002e-08, 2.1736e-02, 4.4135e-07
4.0000e-03, 1.5110e-02, 1.4607e-07, 2.9566e-02, 1.0979e-06
5.0000e-03, 1.8385e-02, 2.6867e-07, 3.6947e-02, 2.3725e-06
6.0000e-03, 2.2172e-02, 4.8086e-07, 4.3547e-02, 3.7619e-06
7.0000e-03, 2.6084e-02, 7.8190e-07, 5.0262e-02, 5.9470e-06
8.0000e-03, 3.0146e-02, 1.1953e-06, 5.7774e-02, 9.1263e-06
9.0000e-03, 3.3223e-02, 1.7183e-06, 6.7236e-02, 1.4915e-05
1.0000e-02, 3.7232e-02, 2.2974e-06, 7.4010e-02, 1.9334e-05
